n          m          fn = 0.54 * n * ln(n)          offset = (fn - m) / m
100        241        248                            0.025217031831335238
200        547        572                            0.043986128855630635
400        1246       1294                           0.03810669875651825
800        2829       2887                           0.020465872538970024
1600       6310       6374                           0.010110614560552785
3200       15772      13946                          -0.11577479076845042
6400       27912      30288                          0.0851052395879982
12800      62177      65368                          0.051306010656519414
25600      137007     140318                         0.02415992070530244
51200      292395     299800                         0.02532252515255011
102400     617020     637930                         0.033887182751832196
204800     1236708    1352516                        0.09364206476855767
409600     2717059    2858346                        0.05199966522635983
819200     5818020    6023319                        0.03528669365419715
